"","X","firstname","sex","race","call"
"1",1,"Allison","female","white",0
"2",2,"Kristen","female","white",0
"3",3,"Lakisha","female","black",0
"4",4,"Latonya","female","black",0
"5",5,"Carrie","female","white",0
"6",6,"Jay","male","white",0
"7",7,"Jill","female","white",0
"8",8,"Kenya","female","black",0
"9",9,"Latonya","female","black",0
"10",10,"Tyrone","male","black",0
"11",11,"Aisha","female","black",0
"12",12,"Allison","female","white",0
"13",13,"Aisha","female","black",0
"14",14,"Carrie","female","white",0
"15",15,"Aisha","female","black",0
"16",16,"Geoffrey","male","white",0
"17",17,"Matthew","male","white",0
"18",18,"Tamika","female","black",0
"19",19,"Jill","female","white",0
"20",20,"Latonya","female","black",0
"21",21,"Leroy","male","black",0
"22",22,"Todd","male","white",0
"23",23,"Allison","female","white",0
"24",24,"Carrie","female","white",0
"25",25,"Greg","male","white",0
"26",26,"Keisha","female","black",0
"27",27,"Keisha","female","black",0
"28",28,"Kristen","female","white",0
"29",29,"Lakisha","female","black",0
"30",30,"Tamika","female","black",0
"31",31,"Allison","female","white",0
"32",32,"Keisha","female","black",0
"33",33,"Kristen","female","white",0
"34",34,"Latonya","female","black",0
"35",35,"Brad","male","white",0
"36",36,"Jill","female","white",0
"37",37,"Keisha","female","black",0
"38",38,"Keisha","female","black",0
"39",39,"Lakisha","female","black",0
"40",40,"Laurie","female","white",0
"41",41,"Meredith","female","white",0
"42",42,"Tyrone","male","black",0
"43",43,"Anne","female","white",0
"44",44,"Emily","female","white",0
"45",45,"Latoya","female","black",0
"46",46,"Tamika","female","black",0
"47",47,"Brad","male","white",0
"48",48,"Latoya","female","black",0
"49",49,"Kristen","female","white",0
"50",50,"Latonya","female","black",0
"51",51,"Latoya","female","black",0
"52",52,"Laurie","female","white",0
"53",53,"Allison","female","white",0
"54",54,"Ebony","female","black",0
"55",55,"Jay","male","white",0
"56",56,"Keisha","female","black",0
"57",57,"Laurie","female","white",0
"58",58,"Tyrone","male","black",0
"59",59,"Anne","female","white",0
"60",60,"Lakisha","female","black",0
"61",61,"Latonya","female","black",0
"62",62,"Meredith","female","white",0
"63",63,"Allison","female","white",0
"64",64,"Carrie","female","white",0
"65",65,"Ebony","female","black",0
"66",66,"Kenya","female","black",0
"67",67,"Lakisha","female","black",0
"68",68,"Laurie","female","white",0
"69",69,"Aisha","female","black",0
"70",70,"Anne","female","white",0
"71",71,"Brendan","male","white",0
"72",72,"Hakim","male","black",0
"73",73,"Latoya","female","black",0
"74",74,"Laurie","female","white",0
"75",75,"Laurie","female","white",0
"76",76,"Leroy","male","black",0
"77",77,"Anne","female","white",0
"78",78,"Kenya","female","black",0
"79",79,"Latonya","female","black",0
"80",80,"Meredith","female","white",0
"81",81,"Jamal","male","black",0
"82",82,"Matthew","male","white",0
"83",83,"Neil","male","white",0
"84",84,"Tyrone","male","black",0
"85",85,"Leroy","male","black",0
"86",86,"Todd","male","white",1
"87",87,"Brad","male","white",0
"88",88,"Ebony","female","black",0
"89",89,"Jill","female","white",0
"90",90,"Kristen","female","white",0
"91",91,"Lakisha","female","black",0
"92",92,"Matthew","male","white",0
"93",93,"Tamika","female","black",0
"94",94,"Tremayne","male","black",0
"95",95,"Aisha","female","black",0
"96",96,"Brett","male","white",1
"97",97,"Darnell","male","black",0
"98",98,"Emily","female","white",0
"99",99,"Latonya","female","black",0
"100",100,"Sarah","female","white",0
"101",101,"Aisha","female","black",0
"102",102,"Anne","female","white",0
"103",103,"Jermaine","male","black",0
"104",104,"Neil","male","white",0
"105",105,"Allison","female","white",0
"106",106,"Anne","female","white",1
"107",107,"Keisha","female","black",0
"108",108,"Latonya","female","black",1
"109",109,"Latonya","female","black",0
"110",110,"Laurie","female","white",0
"111",111,"Jay","male","white",0
"112",112,"Lakisha","female","black",0
"113",113,"Anne","female","white",0
"114",114,"Keisha","female","black",0
"115",115,"Kristen","female","white",0
"116",116,"Lakisha","female","black",0
"117",117,"Allison","female","white",0
"118",118,"Ebony","female","black",0
"119",119,"Keisha","female","black",0
"120",120,"Kristen","female","white",0
"121",121,"Lakisha","female","black",0
"122",122,"Meredith","female","white",0
"123",123,"Allison","female","white",0
"124",124,"Kristen","female","white",0
"125",125,"Lakisha","female","black",0
"126",126,"Lakisha","female","black",0
"127",127,"Tanisha","female","black",1
"128",128,"Todd","male","white",1
"129",129,"Aisha","female","black",0
"130",130,"Anne","female","white",0
"131",131,"Jill","female","white",0
"132",132,"Latoya","female","black",0
"133",133,"Neil","male","white",0
"134",134,"Tamika","female","black",0
"135",135,"Anne","female","white",0
"136",136,"Geoffrey","male","white",0
"137",137,"Latoya","female","black",0
"138",138,"Rasheed","male","black",0
"139",139,"Aisha","female","black",0
"140",140,"Allison","female","white",0
"141",141,"Carrie","female","white",0
"142",142,"Ebony","female","black",0
"143",143,"Kenya","female","black",0
"144",144,"Kristen","female","white",0
"145",145,"Jermaine","male","black",0
"146",146,"Laurie","female","white",0
"147",147,"Allison","female","white",0
"148",148,"Kristen","female","white",0
"149",149,"Lakisha","female","black",0
"150",150,"Latonya","female","black",0
"151",151,"Brad","male","white",0
"152",152,"Leroy","male","black",0
"153",153,"Emily","female","white",0
"154",154,"Latonya","female","black",0
"155",155,"Latoya","female","black",0
"156",156,"Laurie","female","white",0
"157",157,"Aisha","female","black",0
"158",158,"Allison","female","white",0
"159",159,"Ebony","female","black",0
"160",160,"Jermaine","male","black",0
"161",161,"Kristen","female","white",0
"162",162,"Latonya","female","black",0
"163",163,"Laurie","female","white",0
"164",164,"Laurie","female","white",0
"165",165,"Anne","female","white",0
"166",166,"Brendan","male","white",1
"167",167,"Kareem","male","black",0
"168",168,"Keisha","female","black",0
"169",169,"Matthew","male","white",1
"170",170,"Meredith","female","white",0
"171",171,"Tanisha","female","black",0
"172",172,"Tanisha","female","black",1
"173",173,"Aisha","female","black",0
"174",174,"Allison","female","white",0
"175",175,"Allison","female","white",0
"176",176,"Anne","female","white",0
"177",177,"Brendan","male","white",0
"178",178,"Brett","male","white",0
"179",179,"Brett","male","white",0
"180",180,"Brett","male","white",0
"181",181,"Ebony","female","black",0
"182",182,"Geoffrey","male","white",0
"183",183,"Jay","male","white",0
"184",184,"Jill","female","white",0
"185",185,"Keisha","female","black",0
"186",186,"Keisha","female","black",0
"187",187,"Kenya","female","black",0
"188",188,"Kenya","female","black",0
"189",189,"Lakisha","female","black",0
"190",190,"Latoya","female","black",0
"191",191,"Latoya","female","black",0
"192",192,"Laurie","female","white",0
"193",193,"Matthew","male","white",0
"194",194,"Rasheed","male","black",0
"195",195,"Sarah","female","white",0
"196",196,"Sarah","female","white",0
"197",197,"Tamika","female","black",0
"198",198,"Tanisha","female","black",0
"199",199,"Tanisha","female","black",0
"200",200,"Tremayne","male","black",0
"201",201,"Lakisha","female","black",1
"202",202,"Meredith","female","white",1
"203",203,"Anne","female","white",0
"204",204,"Latonya","female","black",0
"205",205,"Sarah","female","white",0
"206",206,"Tamika","female","black",0
"207",207,"Jill","female","white",0
"208",208,"Keisha","female","black",0
"209",209,"Lakisha","female","black",0
"210",210,"Meredith","female","white",0
"211",211,"Jill","female","white",1
"212",212,"Keisha","female","black",0
"213",213,"Lakisha","female","black",0
"214",214,"Meredith","female","white",0
"215",215,"Carrie","female","white",0
"216",216,"Greg","male","white",0
"217",217,"Kenya","female","black",0
"218",218,"Tremayne","male","black",0
"219",219,"Kenya","female","black",0
"220",220,"Neil","male","white",0
"221",221,"Emily","female","white",0
"222",222,"Jill","female","white",0
"223",223,"Latonya","female","black",0
"224",224,"Tanisha","female","black",0
"225",225,"Ebony","female","black",0
"226",226,"Kristen","female","white",0
"227",227,"Latonya","female","black",0
"228",228,"Laurie","female","white",0
"229",229,"Anne","female","white",0
"230",230,"Emily","female","white",0
"231",231,"Keisha","female","black",0
"232",232,"Tanisha","female","black",0
"233",233,"Allison","female","white",0
"234",234,"Kristen","female","white",0
"235",235,"Latonya","female","black",0
"236",236,"Tanisha","female","black",0
"237",237,"Aisha","female","black",0
"238",238,"Allison","female","white",0
"239",239,"Anne","female","white",0
"240",240,"Latonya","female","black",0
"241",241,"Latoya","female","black",0
"242",242,"Sarah","female","white",0
"243",243,"Aisha","female","black",0
"244",244,"Anne","female","white",0
"245",245,"Latoya","female","black",0
"246",246,"Laurie","female","white",0
"247",247,"Anne","female","white",0
"248",248,"Carrie","female","white",1
"249",249,"Ebony","female","black",0
"250",250,"Lakisha","female","black",0
"251",251,"Allison","female","white",0
"252",252,"Keisha","female","black",0
"253",253,"Kristen","female","white",0
"254",254,"Tanisha","female","black",0
"255",255,"Aisha","female","black",0
"256",256,"Emily","female","white",0
"257",257,"Latonya","female","black",0
"258",258,"Sarah","female","white",0
"259",259,"Geoffrey","male","white",0
"260",260,"Kareem","male","black",1
"261",261,"Kristen","female","white",0
"262",262,"Rasheed","male","black",0
"263",263,"Todd","male","white",0
"264",264,"Tyrone","male","black",0
"265",265,"Brendan","male","white",0
"266",266,"Jamal","male","black",0
"267",267,"Matthew","male","white",0
"268",268,"Meredith","female","white",1
"269",269,"Rasheed","male","black",0
"270",270,"Tremayne","male","black",1
"271",271,"Anne","female","white",1
"272",272,"Ebony","female","black",1
"273",273,"Kristen","female","white",1
"274",274,"Tamika","female","black",0
"275",275,"Aisha","female","black",0
"276",276,"Allison","female","white",0
"277",277,"Emily","female","white",0
"278",278,"Kristen","female","white",0
"279",279,"Latoya","female","black",0
"280",280,"Tamika","female","black",0
"281",281,"Aisha","female","black",0
"282",282,"Anne","female","white",0
"283",283,"Emily","female","white",0
"284",284,"Jill","female","white",0
"285",285,"Keisha","female","black",0
"286",286,"Lakisha","female","black",0
"287",287,"Ebony","female","black",0
"288",288,"Kenya","female","black",0
"289",289,"Kristen","female","white",0
